This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
21,May,+71.1,17:51,+41,04:07,98,07:43,23,19:36,+46.9,07:42,+27.5,20:23,+72.3,19:35,+68.2,07:42,+41,06:13,+73.9,11:30,0,00:00,29.03,23:59,28.91,12:31,13.2,13:00,275,0,1,0.79,45.532
22,May,+81.5,17:57,+39.9,06:52,98,08:37,19,17:56,+48.6,08:31,+29.7,12:51,+73,18:48,+67.5,09:42,+39.2,06:52,+78.1,17:57,0,00:00,29.17,23:59,29.03,04:01,12.3,16:38,284,0.08,0,0.08,28.832
23,May,+72.5,14:31,+52.7,06:45,91,23:38,30,14:54,+53.1,23:34,+35.6,10:04,+72.3,15:24,+69.1,09:10,+51.8,03:41,+74.5,13:39,0,00:00,29.38,23:31,29.17,00:01,5.8,10:35,122,0,1,0.08,3.085
24,May,+83.3,17:09,+43.9,06:43,98,08:04,16,17:02,+53.2,02:04,+27.9,16:04,+73,17:45,+68.9,09:43,+43.9,06:43,+79.3,17:09,0,00:00,29.44,12:01,29.35,05:01,8.7,14:48,298,0,2,0.08,17.46
25,May,+91.6,16:50,+41.2,06:35,98,08:28,15,18:51,+51.8,08:33,+32.7,13:24,+73,18:07,+67.6,09:33,+41,06:54,+87.3,16:50,0,23:59,29.41,11:46,29.23,23:59,6.3,14:53,291,0,3,0.08,7.75
26,May,+88.7,14:47,+52,04:28,98,07:19,28,10:30,+61.3,22:06,+43.2,09:01,+73,17:07,+68.7,08:49,+51.8,04:46,+87.1,14:47,0,00:00,29.26,06:16,29.17,20:46,9.6,16:33,300,0,4,0.08,18.354
27,May,+91,14:56,+56.8,23:59,94,20:38,30,15:05,+66.4,09:01,+48.7,23:54,+72.9,17:25,+69.6,08:44,+55.4,21:01,+90.7,14:56,0.24,18:40,29.41,23:59,29.2,06:01,11,17:39,262,0.08,0,0.08,13.689
28,May,+86.9,18:00,+46.9,23:59,82,23:52,16,18:25,+50.5,00:01,+26.1,20:14,+72.9,18:56,+68.5,09:10,+46.4,23:59,+82,18:00,0,00:00,29.56,10:16,29.41,02:01,8.3,13:50,116,0,1,0.08,7.869
29,May,+90.3,17:34,+39.9,06:00,98,08:35,13,19:13,+53.2,08:41,+28.9,18:35,+73,19:09,+67.5,08:40,+39.2,06:00,+85.1,17:34,0,00:00,29.5,12:31,29.38,23:59,7.2,12:23,311,0,2,0.08,8.533
30,May,+92.1,15:40,+47.5,05:59,98,07:59,25,11:28,+65.8,23:27,+39,00:00,+73.4,18:49,+68.4,08:16,+47.5,05:59,+91,15:40,0,00:00,29.38,10:46,29.2,23:59,8.7,17:46,254,0,3,0.08,22.192
31,May,+92.5,16:08,+65.5,23:59,82,00:47,21,18:35,+64.2,00:47,+42.4,18:37,+73.6,17:33,+70,05:29,+65.5,23:59,+90,16:08,0,23:59,29.2,01:01,29.12,20:31,13.2,13:51,274,0,4,0.08,65.715
