This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,March,+60.4,00:02,+43.3,23:44,32,21:17,19,17:22,+25.3,00:02,+10.6,10:47,+74.1,19:09,+70.5,08:24,+33.8,09:06,-999,00:00,0,00:00,29.17,23:45,28.97,01:30,13.6,12:48,295,0,1,1.46,64.665
2,March,+60.4,21:43,+34.3,04:20,80,18:05,22,22:44,+52.2,18:05,+12.7,01:05,+72.5,20:43,+70,07:11,+33.8,04:24,-999,00:00,2.52,17:59,29.14,01:45,28.61,18:00,17.9,23:05,310,0.47,0,0.47,26.932
3,March,+51.1,15:09,+35.1,23:59,39,07:57,19,18:09,+20.7,00:23,+4.5,19:30,+73,18:41,+70,09:39,+24.8,10:00,-999,00:00,0,00:00,29.14,23:59,28.91,00:30,17.4,13:28,291,0,1,0.47,81.182
4,March,+40.6,16:02,+28.4,23:23,42,23:59,23,16:26,+9.5,15:42,+2.5,18:56,+72.3,18:42,+70,09:30,+15.8,12:28,-999,00:00,0,00:00,29.2,23:30,29.12,15:15,15.9,12:10,293,0,2,0.47,54.221
5,March,+39.2,16:26,+27.5,23:59,63,06:28,21,17:16,+18.7,06:28,+0.3,19:50,+73,14:45,+69.6,09:07,+14,09:29,-999,00:00,0,00:00,29.74,23:59,29.14,03:45,13.2,13:56,313,0.04,0,0.04,52.73
6,March,+65.5,16:21,+25.5,02:24,53,04:09,15,17:02,+17.1,17:06,+7.9,00:09,+73,19:35,+69.8,07:16,+24.8,02:55,-999,00:00,0,00:00,29.74,10:40,29.56,23:59,10.1,10:46,112,0,1,0.04,30.352
7,March,+71.8,16:09,+49.6,07:26,19,23:59,14,16:41,+24.3,15:52,+9.1,07:26,+73.9,18:54,+70.7,08:01,+44.6,08:05,+70.9,15:52,0,00:00,29.68,10:09,29.47,21:55,15.4,13:43,172,0,2,0.04,86.797
8,March,+61.9,10:41,+39.4,23:59,80,18:07,19,01:28,+51.4,18:06,+18,23:56,+72.9,00:01,+71.1,07:22,+32,21:02,-999,00:00,0.43,18:12,29.53,23:55,29.26,17:10,15,18:16,273,0.71,0,0.71,79.002
9,March,+49.8,13:12,+32.5,06:39,55,02:03,19,17:28,+22.6,02:03,+0,22:38,+73,19:02,+70.2,08:18,+24.8,22:46,-999,00:00,0,00:00,29.76,23:59,29.5,00:09,15.4,11:39,275,0,1,0.71,55.808
10,March,+55.6,16:35,+24.8,07:16,43,07:43,17,16:37,+12.6,16:42,+1,23:05,+73,19:40,+69.6,09:10,+24.8,07:40,-999,00:00,0,00:00,29.82,10:40,29.65,23:59,8.1,15:11,72,0,2,0.71,16.938
11,March,+72,16:49,+28.4,08:04,46,08:44,14,18:16,+20.3,13:03,+5.9,00:42,+75.4,18:26,+70,09:17,+28.4,08:25,+70.2,16:52,0,00:00,29.71,12:10,29.53,23:59,8.1,15:48,107,0,3,0.71,9.695
12,March,+65.3,13:55,+53.2,00:18,58,17:53,17,00:57,+47.3,17:53,+10.9,00:26,+74.1,00:12,+71.1,12:42,+53.2,00:18,-999,00:00,0.08,16:46,29.53,00:57,29.32,23:59,11,21:41,210,0.28,0,0.28,15.888
13,March,+75.2,15:28,+60.4,00:49,45,03:25,21,15:48,+41,08:48,+30.7,14:52,+74.3,15:48,+71.4,09:18,+53.6,03:25,+74.1,12:07,0,23:59,29.38,14:54,29.32,06:39,14.1,03:25,277,0.04,0,0.04,44.105
14,March,+81.1,17:25,+47.7,08:58,81,09:53,14,17:51,+52.3,10:27,+21.7,20:23,+75,15:50,+71.1,08:58,+47.7,08:58,+76.6,17:25,0,08:58,29.5,11:40,29.41,21:39,10.5,14:17,287,0,1,0.04,19.047
15,March,+70.3,18:15,+53.4,02:23,80,14:35,31,00:00,+53.4,14:35,+28,00:00,+73.6,00:14,+71.2,12:56,+53.4,02:23,+74.5,17:31,2.72,12:17,29.5,14:40,29.38,19:10,8.1,18:12,171,0.47,0,0.47,8.592
16,March,+73.2,14:36,+56.7,08:27,75,09:27,23,16:53,+50.5,09:27,+32,16:49,+74.5,15:15,+71.4,07:37,+55.4,10:38,+74.1,13:36,0,00:00,29.47,23:59,29.38,05:24,7.6,10:38,285,0,1,0.47,11.133
17,March,+77,16:51,+57,07:29,77,08:51,21,16:56,+54.7,10:56,+32.2,17:27,+76.3,18:45,+71.4,08:28,+57,07:29,+75,16:54,0,00:00,29.5,11:40,29.41,21:55,8.7,14:33,178,0,2,0.47,12.02
18,March,+79.3,17:23,+59.5,04:14,59,08:31,20,19:04,+46.2,08:31,+31.1,20:02,+74.1,21:13,+71.8,10:21,+59,04:20,+76.5,17:23,0,00:00,29.5,13:09,29.35,19:54,8.1,15:31,146,0,3,0.47,22.095
19,March,+82.9,17:30,+57.4,07:57,74,09:03,14,17:54,+53.2,09:11,+27.5,17:54,+74.1,21:00,+71.6,10:00,+57.2,08:32,+78.4,17:30,0,00:00,29.44,13:55,29.35,19:55,6.3,15:10,119,0,4,0.47,2.884
20,March,+88.2,17:36,+56.5,07:57,75,09:07,13,18:37,+52.9,09:37,+23.4,23:59,+74.7,20:26,+71.4,08:19,+56.5,07:57,+82.6,17:36,0,00:00,29.47,10:55,29.35,20:40,6.3,15:39,266,0,5,0.47,8.063
21,March,+88.2,16:54,+55.2,08:14,50,08:33,13,17:44,+38.8,09:08,+22.1,00:26,+74.8,19:15,+71.6,09:04,+55.2,08:15,+82.6,16:54,0,00:00,29.47,12:40,29.35,19:10,8.3,13:20,283,0,6,0.47,12.095
22,March,+87.1,17:15,+55.9,07:58,60,08:23,13,18:08,+43.9,09:01,+26.2,19:24,+75,19:37,+71.4,10:08,+55.4,08:02,+81.7,17:15,0,00:00,29.47,12:10,29.32,17:25,8.1,16:03,290,0,7,0.47,12.646
