This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
21,April,+84.6,16:59,+42.1,06:16,98,08:27,22,17:05,+51.8,08:37,+37.2,17:01,+74.3,14:54,+68.4,09:10,+42.1,06:16,+81.3,16:55,0,00:00,29.35,23:59,29.29,16:46,7.6,17:00,112,0,2,0.16,10.425
22,April,+79.3,11:29,+50.7,06:21,98,06:49,28,13:02,+52.2,06:42,+39.9,13:02,+73.2,13:33,+70.2,09:20,+50,06:21,+78.3,11:29,0,00:00,29.38,12:45,29.32,23:15,9.6,15:16,101,0,3,0.16,28.161
23,April,+93.4,17:45,+54,05:47,86,05:54,17,18:02,+51.1,08:27,+35.1,19:49,+74.3,17:48,+69.6,08:04,+53.6,06:02,+88.9,17:45,0,00:00,29.44,23:59,29.35,03:45,5.8,12:29,71,0,4,0.16,3.584
24,April,+94.6,15:36,+58.6,06:02,66,04:30,17,15:38,+49.1,03:46,+25.5,09:32,+74.7,17:02,+70.2,08:52,+55.4,07:07,+90.7,15:36,0,00:00,29.5,11:30,29.29,20:30,10.5,09:31,74,0,5,0.16,15.962
25,April,+91.6,15:22,+57.9,05:08,97,09:56,20,15:27,+63.3,10:06,+43.3,15:32,+74.5,16:11,+70.5,08:00,+55.4,06:07,+88.5,16:42,0,23:59,29.35,09:45,29.17,23:59,8.7,15:24,125,0,6,0.16,16.76
26,April,+79.2,16:05,+49.8,23:47,97,08:27,21,17:36,+68.2,08:27,+27.3,20:02,+73.4,18:28,+70.7,08:50,+49.8,23:47,+77.5,09:13,0,23:59,29.44,23:59,29.14,03:00,12.8,16:42,285,0.04,0,0.04,41.31
27,April,+81.5,16:10,+39.9,07:05,98,23:59,18,17:50,+54.1,22:26,+28.4,17:25,+73.8,17:34,+68.5,09:23,+39.2,07:05,+78.1,16:10,0.04,22:38,29.44,03:00,29.2,23:59,7.6,14:28,265,0.08,0,0.08,5.492
28,April,+70.3,17:19,+40.6,23:59,98,06:31,24,16:30,+52.9,00:01,+26.1,18:31,+72.9,16:19,+68.9,09:38,+32,22:28,+72.9,17:21,0.2,02:22,29.2,00:00,29.09,20:31,15.9,20:33,256,0.39,0,0.39,31.857
29,April,+60.6,15:13,+36.5,23:59,98,23:59,36,17:39,+40.8,01:11,+28.2,07:11,+70.5,00:09,+66.9,09:35,+30.2,01:35,-999,00:00,0,00:00,29.35,23:59,29.17,03:31,8.7,15:13,274,0,1,0.39,24.741
30,April,+76.8,16:59,+31.6,06:53,98,08:57,21,17:24,+43.2,09:26,+27.1,17:51,+72.9,17:38,+65.1,07:53,+31.6,06:53,+74.8,16:59,0,23:59,29.41,11:30,29.26,23:59,6.7,11:57,144,0,2,0.39,12.065
