This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
21,August,+102,16:43,+63.3,07:13,86,07:32,12,17:10,+59.9,07:47,+36.7,15:08,+75.2,16:05,+69.8,08:13,+62.6,07:13,+97.7,17:07,0,00:00,29.44,12:09,29.35,21:39,8.3,10:29,148,0,15,0.08,20.389
22,August,+103.6,16:24,+67.1,06:58,66,07:00,12,16:26,+55.6,07:00,+34.9,23:59,+74.5,18:55,+70,08:19,+67.1,06:58,+91.8,11:47,0,00:00,29.47,13:09,29.38,01:24,8.1,18:30,119,0,16,0.08,13.443
24,August,+82.6,20:40,+71.8,23:59,65,23:59,25,20:09,+59.5,23:55,+41.7,20:09,+78.6,20:07,+74.1,23:59,+71.6,23:59,+80.6,20:40,0,20:04,29.26,22:39,29.2,20:39,8.3,21:01,262,0,1,0,1.148
25,August,+86.2,15:03,+66.6,06:16,98,08:09,29,18:00,+70,08:24,+41.7,23:59,+74.1,00:04,+69.8,08:47,+66.2,06:30,+84,15:03,0,00:00,29.26,23:59,29.2,19:54,6.3,17:11,69,0,2,0,4.479
26,August,+87.3,13:02,+61.3,07:24,96,22:52,20,13:04,+68.5,20:54,+37,10:58,+72.7,15:44,+67.5,09:44,+60.8,07:32,+83.5,13:01,0,00:00,29.26,12:09,29.17,17:54,8.7,13:34,76,0.04,0,0.04,13.883
27,August,+71.6,13:51,+66.2,22:22,98,23:59,68,13:55,+67.3,02:36,+59,14:04,+71.2,12:45,+69.1,08:19,+62.6,08:21,+76.3,13:51,0.75,05:44,29.2,02:24,29.12,23:59,8.7,12:35,111,1.81,0,1.81,16.134
28,August,+88.9,17:19,+63.9,23:44,98,06:58,22,18:30,+66.2,01:37,+43.3,15:54,+71.8,19:43,+68.9,08:28,+62.6,10:07,+77.7,13:53,0,00:00,29.2,23:59,29.12,07:24,8.3,10:07,273,0.08,0,0.08,12.594
29,August,+99,16:15,+61,06:01,98,08:24,16,16:14,+66.7,08:21,+43.3,18:01,+73.9,17:47,+68.9,08:32,+60.8,06:19,+95.5,16:15,0,00:00,29.23,23:59,29.17,19:09,8.1,21:54,273,0,1,0.08,13.674
30,August,+98.1,16:12,+64.8,23:59,98,08:50,16,18:16,+70.3,08:29,+39.4,19:28,+73.9,18:29,+69.3,08:38,+64.4,23:59,+94.3,16:07,0,23:59,29.38,23:59,29.23,04:24,8.1,12:25,119,0,2,0.08,5.157
31,August,+99.1,15:53,+59.4,07:33,98,08:21,11,18:00,+63,08:32,+30.2,18:10,+73.2,18:58,+69.1,08:32,+59,07:41,+94.1,15:53,0,00:00,29.5,11:39,29.38,21:24,10.1,13:14,74,0,3,0.08,9.159
