This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,August,+92.7,15:36,+64.6,07:17,86,08:28,17,18:55,+65.8,09:20,+40.5,19:18,+75.6,15:00,+73.9,09:42,+64.4,07:34,+83.1,11:16,0,00:00,29.38,11:16,29.23,21:27,7.6,13:58,304,0,8,0.79,9.665
2,August,+92.8,16:21,+70.3,06:20,81,07:42,18,16:09,+65.5,07:53,+42.4,15:53,+75.6,16:46,+73.9,01:30,+69.8,06:42,+89.2,14:14,0,00:00,29.26,12:27,29.12,23:59,8.3,12:56,294,0,9,0.79,16.901
3,August,+83.1,19:14,+69.4,04:32,85,06:41,40,19:19,+70.7,23:17,+54.1,15:31,+75.4,19:22,+73.9,08:08,+69.4,04:33,+82.9,19:14,1.93,11:01,29.12,06:56,29.06,22:41,6.3,13:34,276,0.59,0,0.59,2.377
4,August,+90,18:28,+68.9,07:03,87,09:06,19,17:26,+72.1,09:06,+40.6,15:42,+75.4,15:04,+74.1,23:59,+68.9,07:03,+86.2,18:26,0,00:00,29.23,23:59,29.09,00:42,8.3,15:40,287,0,1,0.59,5.693
5,August,+91.6,15:22,+67.3,07:38,87,09:18,17,15:24,+71.1,09:56,+40.5,15:24,+75.6,15:42,+73.9,01:36,+67.3,07:39,+85.8,12:15,0,00:00,29.29,12:57,29.2,20:56,6.3,15:50,152,0,2,0.59,7.206
6,August,+90,16:13,+73,04:55,86,09:43,28,16:31,+71.8,09:43,+50.9,20:28,+75,18:55,+74.1,23:55,+73,04:55,+88.3,16:10,0.04,08:04,29.23,13:12,29.14,23:59,8.1,16:16,251,0.08,0,0.08,19.971
7,August,+87.8,14:54,+70.3,23:59,82,23:59,29,14:55,+68.4,09:53,+50,19:53,+75.2,14:17,+73.9,03:24,+69.8,23:59,+86,14:54,0.43,07:55,29.14,12:11,29.06,23:59,14.5,07:41,282,0.2,0,0.2,27.386
8,August,+91,16:45,+68.4,06:41,88,09:07,18,16:20,+72.7,09:49,+41,16:20,+75.6,15:08,+73.9,08:07,+68,07:20,+87.1,16:15,1.02,23:51,29.09,13:57,29,23:56,11,13:31,274,0.08,0,0.08,22.393
9,August,+84.9,16:58,+70,23:01,87,08:49,22,18:36,+69.1,08:49,+41.2,18:36,+75.4,16:49,+74.1,01:41,+69.8,23:11,+81.9,16:51,1.02,00:00,29.06,23:59,28.94,07:42,11.9,12:35,272,0.24,0,0.24,35.293
