This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
21,July,+102.2,15:39,+66.6,06:35,98,08:48,15,17:47,+70.3,08:47,+43.5,16:01,+75,18:44,+69.6,08:42,+66.2,06:53,+99.1,15:39,0,00:00,29.29,14:17,29.2,23:59,9.6,15:07,269,0,1,0.28,15.47
22,July,+97.9,16:23,+66.6,06:57,95,07:31,17,16:52,+72.7,03:37,+41.7,17:16,+73.2,18:40,+69.6,08:11,+64.4,06:58,+79.3,03:57,1.54,04:12,29.32,05:34,29.17,20:02,13.2,04:04,353,0.28,0,0.28,21.32
23,July,+90.9,17:15,+61,23:52,97,06:22,18,18:47,+69.3,01:36,+34.9,17:35,+73.2,18:00,+69.6,08:40,+60.8,23:54,+86.4,17:15,0,00:00,29.32,23:59,29.2,05:32,11,15:27,308,0,1,0.28,26.842
24,July,+95.4,17:32,+55.4,06:20,98,08:36,14,17:34,+63.3,08:54,+33.3,17:07,+73.4,18:02,+68.7,08:14,+55.4,07:12,+89.8,15:55,0,23:59,29.38,23:59,29.32,06:17,7.2,18:37,229,0,2,0.28,7.713
25,July,+99.7,15:45,+56.1,06:41,98,08:39,15,15:45,+64.8,08:44,+38.1,14:02,+73.6,16:49,+68.9,09:03,+55.4,06:41,+95.5,15:45,0,00:00,29.38,14:32,29.29,21:47,7.6,14:19,155,0,3,0.28,11.431
26,July,+98.1,16:43,+65.1,06:21,98,07:11,18,17:18,+66.6,07:33,+44.6,17:19,+74.1,18:50,+69.4,09:27,+64.4,06:21,+94.8,16:43,0,00:00,29.32,01:17,29.17,23:59,6.7,15:14,159,0,4,0.28,10.075
27,July,+97.7,17:23,+61.2,23:59,97,06:45,11,18:33,+64.8,00:08,+29.1,14:56,+73.4,17:46,+69.4,09:13,+60.8,23:59,+92.5,17:23,0,00:00,29.26,12:32,29.17,21:17,8.3,13:37,257,0,5,0.28,12.817
28,July,+95.4,18:27,+57.2,03:50,98,08:03,18,18:24,+65.8,23:59,+40.6,09:33,+72.7,18:57,+68.9,08:52,+57.2,04:12,+91.8,18:27,0,00:00,29.23,23:59,29.17,20:17,5.4,17:13,249,0,6,0.28,2.213
29,July,+100.9,17:32,+65.7,04:04,98,08:25,15,18:12,+70,08:16,+41.4,19:04,+73.9,19:13,+69.4,08:31,+65.7,04:05,+97,17:32,0,00:00,29.26,10:17,29.14,20:02,6.3,17:02,231,0,7,0.28,6.483
30,July,+98.1,17:51,+67.3,05:50,98,08:04,16,17:52,+70.3,07:59,+39.7,18:10,+73,18:28,+69.4,08:35,+67.3,05:50,+93.9,17:51,0,23:59,29.2,00:47,29.06,18:02,8.3,17:05,288,0,8,0.28,15.113
31,July,+93.7,16:44,+69.8,23:46,98,23:59,25,16:48,+71.2,08:59,+50.5,16:26,+73,18:51,+69.6,07:48,+69.8,23:59,+88.5,15:03,0.2,05:18,29.12,23:59,29.03,22:02,5.8,16:11,285,0.12,0,0.12,4.054
