This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
1,July,+77,15:50,+60.4,02:42,65,07:08,15,16:12,+51.3,07:45,+23.5,16:19,+71.4,17:32,+68.7,08:18,+60.4,02:42,+73.6,11:48,0,00:00,29.12,23:59,28.94,06:24,10.1,16:46,200,0,5,0.71,18.481
2,July,+73,11:53,+60.4,09:58,45,09:39,16,12:14,+39.6,09:39,+21,12:29,+70.7,13:11,+68.7,10:20,+59,09:09,+72.1,11:53,0,00:00,29.23,13:23,29.12,05:55,8.7,11:59,235,0,6,0.71,11.193
3,July,+87.4,13:23,+62.8,22:59,47,23:59,13,13:24,+43,23:56,+23.2,20:22,+72.7,16:31,+70.2,23:59,+62.6,23:59,+81.9,13:23,0,11:47,29.38,16:09,29.35,23:59,8.3,14:45,281,0,7,0.71,11.834
6,July,+97.5,15:48,+64.4,23:59,34,23:59,11,16:39,+36.1,23:57,+23,20:34,+73.8,18:57,+68.9,10:04,+64.4,23:59,+91.6,15:48,0,09:52,29.17,13:40,29.12,21:25,7.6,16:40,274,0,1,0,13.548
7,July,+95.9,17:14,+56.7,06:35,63,07:44,11,18:11,+48.6,08:01,+20.1,21:36,+73.2,19:53,+68.5,08:39,+56.7,06:36,+90,17:14,0,23:59,29.17,23:59,29.12,19:25,8.7,12:30,307,0,2,0,19.249
8,July,+94.6,17:26,+53.4,05:51,68,07:32,11,17:28,+46.9,07:48,+21,22:36,+72.9,18:58,+68.4,06:19,+53.4,05:51,+85.1,13:22,0,00:00,29.29,23:59,29.17,04:01,7.6,16:41,275,0,3,0,6.781
9,July,+97,17:32,+61.9,04:11,37,04:08,11,17:50,+35.6,04:07,+23,21:42,+73.8,18:52,+68.7,08:52,+61.9,04:12,+91,17:32,0,00:00,29.41,23:59,29.29,06:09,6.3,17:01,98,0,4,0,3.815
10,July,+96.1,13:29,+59.2,06:23,59,07:18,11,13:41,+54.7,23:41,+25,09:10,+73.6,19:35,+68.7,08:11,+59,06:46,+90.1,13:29,0,00:00,29.47,17:10,29.41,22:24,8.3,14:15,216,0.08,0,0.08,8.175
11,July,+86,13:14,+67.1,05:06,78,06:34,16,14:49,+62.6,08:00,+31.6,09:36,+72.3,11:58,+69.3,08:46,+66.2,16:37,+81.1,13:15,13.46,16:28,29.44,04:10,29.29,16:10,18.8,16:22,357,3.58,0,3.58,7.415
12,July,+93.9,14:50,+67.1,23:20,78,08:11,11,14:51,+66.2,08:10,+24.4,19:58,+73.6,18:07,+69.1,08:16,+67.1,23:20,+87.8,14:50,0,00:00,29.38,01:55,29.26,21:40,11.4,14:58,285,0,1,3.58,15.396
13,July,+93,17:37,+57.7,06:50,47,05:08,12,19:33,+42.6,03:10,+20.1,08:12,+73.2,18:29,+68.9,08:25,+57.2,06:51,+78.3,10:46,0,00:00,29.35,23:59,29.26,19:25,10.1,14:07,274,0,2,3.58,14.017
14,July,+99,17:25,+56.3,06:55,76,08:01,10,17:26,+55.4,08:01,+20.5,21:52,+74.1,18:41,+68.7,08:05,+56.3,06:55,+92.8,17:25,0,00:00,29.44,11:40,29.35,05:40,6.3,14:39,282,0,3,3.58,7.579
15,July,+92.1,13:12,+55.8,06:18,58,06:48,12,18:22,+45.3,08:10,+25,09:22,+73.6,21:00,+68.9,08:04,+55.4,06:39,+86.2,13:12,0,00:00,29.41,02:10,29.26,23:59,8.1,15:29,273,0,4,3.58,20.083
16,July,+95,15:11,+68.9,06:01,62,06:51,11,15:14,+57.2,04:37,+25.3,20:35,+74.3,18:35,+69.6,08:20,+68.9,06:01,+88.9,15:11,0,00:00,29.26,11:40,29.17,20:25,12.3,15:59,292,0,5,3.58,35.531
17,July,+90.3,15:16,+58.5,23:59,64,06:46,12,15:16,+55.6,08:59,+18.9,23:29,+72.9,15:55,+69.3,08:16,+58.6,23:59,+84.6,15:16,0.12,08:54,29.2,23:59,29.06,17:25,15.4,15:45,297,0.08,0,0.08,29.022
18,July,+82.8,16:54,+54.3,06:51,57,07:28,14,17:03,+41,07:28,+20.1,18:54,+72.3,17:32,+68.7,09:26,+53.6,06:51,+78.1,16:54,0,00:00,29.38,23:59,29.2,05:55,8.7,14:39,308,0,1,0.08,32.349
19,July,+89.4,18:36,+54,04:58,64,07:19,13,18:41,+44.6,07:17,+22.3,20:27,+72.7,17:31,+68.5,08:47,+53.6,05:14,+83.8,18:36,0,00:00,29.44,13:40,29.38,23:25,7.6,13:57,265,0,2,0.08,8.92
20,July,+92.7,15:36,+57,03:10,64,07:11,12,17:40,+46.8,07:27,+20.5,21:18,+73.2,17:49,+68.9,08:17,+57,03:10,+86.7,15:36,0,00:00,29.41,13:10,29.35,22:10,5.8,15:23,264,0,3,0.08,2.511
