This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,January,+61.3,11:51,+34.5,23:59,73,01:06,21,21:53,+29.8,01:35,-0.4,23:59,+71.8,17:51,+69.6,08:19,+19.4,22:54,-999,00:00,0,00:00,29.38,23:59,29.03,11:59,25.1,13:07,313,0,2,0.04,83.816
2,January,+34.5,00:11,+21.9,23:37,46,12:47,22,00:06,+10,12:32,-0.8,19:39,+71.2,17:56,+69.1,10:12,-0.4,23:03,-999,00:00,0,00:00,29.47,23:59,29.29,11:59,21,14:05,282,0,3,0.04,108.781
3,January,+26.8,16:38,+17.1,21:43,44,07:56,26,17:35,+2.5,07:56,-5.1,19:42,+71.4,17:58,+68.9,07:14,+1.4,14:35,-999,00:00,0,00:00,29.62,20:59,29.47,01:29,15.4,13:48,298,0,4,0.04,91.552
4,January,+38.5,16:11,+18,00:01,43,03:23,24,14:33,+9.1,15:50,-2.9,05:13,+71.4,18:54,+68.9,04:13,+14,09:47,-999,00:00,0,00:00,29.53,04:59,29.26,16:44,11,14:27,304,0.04,0,0.04,25.001
5,January,+50.9,15:53,+28.6,08:45,46,09:17,19,17:34,+14.4,12:52,+2.7,22:39,+71.8,18:44,+68.9,09:47,+28.4,08:56,-999,00:00,0,00:00,29.41,10:29,29.23,23:59,8.1,14:30,194,0,1,0.04,20.746
6,January,+64.8,15:42,+41.2,07:24,28,08:30,15,15:48,+19,13:28,+6.4,21:59,+72.1,19:22,+69.6,09:05,+39.2,08:17,-999,00:00,0,00:00,29.23,10:44,29.12,23:59,12.3,14:22,210,0,2,0.04,40.453
7,January,+55.6,13:11,+32,23:47,40,23:59,17,14:51,+30,07:19,+4.5,19:17,+73,18:47,+70,08:30,+32,23:59,-999,00:00,0,00:00,29.44,23:59,29.09,04:59,12.8,10:42,287,0,3,0.04,50.666
8,January,+47.8,15:21,+25.5,08:27,61,10:19,22,16:12,+21.2,10:58,+6.4,18:03,+71.6,19:54,+69.1,09:47,+24.8,08:35,-999,00:00,0,00:00,29.62,10:59,29.44,00:59,6.3,16:11,65,0.04,0,0.04,5.425
9,January,+52.2,15:33,+33.1,00:05,38,00:24,18,16:41,+15.3,13:37,+2.1,19:38,+71.8,19:51,+69.1,08:31,+33.1,00:05,-999,00:00,0,00:00,29.53,00:29,29.32,19:14,6.3,13:38,290,0,1,0.04,5.291
10,January,+55.6,16:09,+27.1,07:57,53,08:53,18,17:02,+18.1,10:04,+8.1,18:07,+72,15:46,+69.1,08:49,+26.6,08:21,-999,00:00,0,00:00,29.38,11:45,29.2,23:59,8.1,12:51,229,0,2,0.04,7.921
11,January,+50.4,16:17,+29.8,04:05,82,13:23,36,06:54,+41.4,15:02,+12.2,01:02,+72.3,18:42,+69.3,08:15,+29.8,04:05,-999,00:00,0.31,11:07,29.2,00:29,28.7,23:59,7.2,14:47,80,0.55,0,0.55,2.243
12,January,+47.8,15:56,+22.6,23:59,84,01:57,39,16:45,+42.8,01:57,+3,23:23,+71.8,18:36,+69.8,22:38,-0.4,22:25,-999,00:00,0,00:00,28.97,23:59,28.7,16:44,18.8,16:39,244,0.08,0,0.08,62.72
13,January,+22.8,15:16,+17.2,07:13,53,00:35,35,13:45,+7.7,00:35,-4.9,06:26,+71.4,17:55,+69.6,13:08,-9.4,07:45,-999,00:00,0,00:00,29.38,23:59,28.97,01:44,16.8,07:45,276,0,1,0.08,93.049
14,January,+30.9,14:13,+20.3,07:11,48,23:48,30,17:13,+7.9,23:39,+1.4,00:05,+72,19:18,+69.1,08:26,+8.6,01:51,-999,00:00,0,00:00,29.47,23:59,29.35,17:14,8.7,12:24,289,0,2,0.08,24.942
15,January,+36.3,16:15,+14.5,08:08,56,10:08,27,17:02,+9.5,10:54,+0.9,06:23,+71.2,19:38,+69.1,08:18,+14,08:21,-999,00:00,0,00:00,29.74,12:29,29.44,00:44,8.3,13:05,110,0,3,0.08,10.947
16,January,+54,23:59,+25.2,01:23,44,06:17,24,13:16,+20.8,23:59,+5.4,00:56,+71.4,22:31,+69.1,08:54,+24.8,04:19,-999,00:00,0,00:00,29.62,01:14,29.23,23:59,11,13:45,177,0,4,0.08,42.365
17,January,+61.9,11:50,+35.1,23:59,76,05:46,27,00:54,+44.8,13:24,+9.3,23:48,+72,19:52,+70.3,09:05,+17.6,23:21,-999,00:00,1.22,12:41,29.35,23:59,28.94,14:59,17.9,12:36,324,1.26,0,1.26,102.558
18,January,+35.1,00:07,+22.1,23:59,45,23:59,28,15:16,+11.3,00:21,+0.3,19:01,+71.2,19:41,+69.8,10:22,+15.8,10:07,-999,00:00,0,00:00,29.53,12:00,29.35,00:15,13.2,02:08,280,0,1,1.26,39.853
19,January,+41,14:14,+21.2,04:16,47,04:56,28,14:39,+11.8,22:21,+2.5,03:26,+71.4,17:43,+68.7,07:53,+17.6,10:28,-999,00:00,0,00:00,29.41,00:00,29.17,15:14,10.5,13:08,263,0,2,1.26,38.929
20,January,+30.4,20:31,+16.9,06:13,53,23:59,32,19:02,+14.5,23:59,-4.5,09:08,+70.9,18:07,+69.1,07:27,+12.2,10:01,-999,00:00,0,00:00,29.5,10:29,29.14,23:59,7.6,02:24,313,0,3,1.26,20.761
21,January,+30.6,03:32,+26.8,11:08,70,04:05,50,17:12,+21.6,04:05,+11.5,11:08,+70.7,18:56,+68.9,09:33,+12.2,09:27,-999,00:00,0,00:00,29.5,23:44,29.12,05:00,11,02:38,307,0,4,1.26,19.107
22,January,+48.9,23:59,+28,00:22,80,11:34,40,23:59,+34.5,22:23,+16.2,03:21,+71.1,19:28,+68.9,09:35,+24.8,09:01,-999,00:00,0,00:00,29.47,03:00,29.17,23:59,6.7,11:34,58,0.04,0,0.04,8.205
23,January,+66,14:53,+43.2,23:59,83,07:59,20,15:12,+46.4,07:59,+14.4,23:40,+72.1,19:39,+69.8,08:35,+32,22:50,-999,00:00,0.31,05:40,29.29,23:59,28.94,15:15,24.2,13:35,168,0.24,0,0.24,78.082
24,January,+50.4,14:47,+30.7,22:47,51,23:59,26,15:37,+23.4,09:24,+11.7,18:24,+71.4,20:28,+69.4,10:01,+30.2,23:37,-999,00:00,0,00:00,29.62,23:45,29.29,01:59,13.6,12:11,286,0,1,0.24,35.598
25,January,+44.2,14:37,+31.3,00:07,69,23:25,33,14:54,+28.9,22:10,+14.2,09:09,+72.5,17:52,+69.4,10:03,+28.4,10:58,-999,00:00,0,00:00,29.62,09:44,29.38,23:59,8.1,13:06,78,0.04,0,0.04,9.129
26,January,+58.6,18:19,+37.4,03:30,81,11:40,61,04:58,+50.7,17:48,+25.9,04:58,+72.5,18:40,+70.2,07:17,+37.4,06:47,-999,00:00,1.26,23:31,29.38,00:59,28.73,23:59,11.4,22:18,94,0.59,0,0.59,1.885
27,January,+58.1,01:04,+36.9,22:00,76,00:37,40,23:57,+50.2,00:37,+15.3,23:55,+72.1,15:17,+70.7,23:59,+23,16:17,-999,00:00,0.2,00:00,29.35,23:29,28.73,01:45,15,05:12,8,0.04,0,0.04,67.396
28,January,+45.3,12:44,+27.9,23:46,69,10:24,20,16:57,+30.6,10:24,-3.1,21:16,+72.3,18:46,+70,08:54,+23,12:55,-999,00:00,0,00:00,29.53,23:59,29.23,10:15,22.4,12:05,221,0,1,0.04,60.089
