This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,March,+44.8,15:06,+30,23:59,40,07:21,20,16:11,+12.6,07:21,+1.2,18:55,+61.5,08:35,+59.4,23:15,+30,23:59,-999,00:00,0,00:00,29.38,12:45,29.29,04:15,8.3,14:17,297,0,1,0.04,10.686
2,March,+43,10:29,+25.3,06:46,54,05:30,20,10:29,+14.9,08:34,-1.3,13:51,+61.7,12:35,+59.7,00:39,+15.8,17:29,-999,00:00,0,00:00,29.32,00:29,29.12,23:59,11,17:29,259,0,2,0.04,22.744
3,March,+41,13:15,+30.7,23:53,28,05:36,21,15:02,+4.1,13:15,-2.6,23:46,+61.3,09:20,+59.5,17:50,+17.6,11:01,-999,00:00,0,00:00,29.23,23:59,29.12,07:30,12.3,11:01,292,0,3,0.04,44.157
4,March,+57,16:08,+21.6,23:54,47,05:04,17,16:10,+12.7,16:08,-8.5,23:27,+61.5,09:01,+58.3,23:59,+21.2,23:59,-999,00:00,0,00:00,29.41,23:59,29.2,04:44,17.4,15:10,317,0,4,0.04,37.156
5,March,+58.3,16:32,+14.9,07:01,39,05:12,17,16:44,+16.2,16:32,-9.2,00:07,+61.3,09:45,+58.1,01:02,+14,07:01,-999,00:00,0,00:00,29.59,23:59,29.41,03:59,15,12:56,287,0,5,0.04,35.021
6,March,+62.2,16:12,+16.9,06:50,44,02:20,16,16:12,+15.6,16:13,-5.8,06:54,+61.3,09:35,+58.3,00:25,+16.9,06:50,-999,00:00,0,00:00,29.68,11:15,29.56,23:59,12.3,15:17,284,0,6,0.04,23.839
7,March,+71.8,16:43,+17.8,06:39,54,02:28,14,16:49,+19.9,16:50,-5.1,06:00,+61.2,10:24,+58.5,01:07,+17.6,06:48,+70.2,16:43,0,00:00,29.56,10:30,29.38,23:45,7.6,14:11,284,0,7,0.04,8.421
8,March,+76.1,16:13,+34,06:46,47,07:04,13,16:49,+21.7,16:13,+3,00:07,+61.2,10:40,+58.5,03:24,+32,00:37,+72.7,16:13,0.71,23:49,29.41,09:45,29.23,20:00,8.1,00:37,291,0.08,0,0.08,12.959
9,March,+78.3,11:35,+30,06:04,63,07:49,13,15:34,+24.1,07:49,+9,08:25,+61.7,23:59,+58.8,05:02,+30,06:04,+74.1,11:35,0.71,00:00,29.29,00:45,29.12,22:15,6.3,23:03,241,0,1,0.08,5.902
10,March,+75.6,16:56,+47.5,03:35,54,08:36,13,17:04,+35.2,09:46,+8.6,02:39,+61.9,21:23,+60.6,08:57,+47.5,03:36,+72.7,16:58,0.24,05:35,29.14,10:30,29.06,18:15,8.7,15:09,209,0.24,0,0.24,14.248
