This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN

1,October,+71.1,17:23,+47.3,23:59,77,07:34,22,17:50,+45.9,07:34,+27.5,18:30,+73.2,22:08,+70.2,18:37,+47.3,23:59,+72.3,16:08,0,00:00,29.35,23:49,29.2,01:48,13.2,13:06,246,0.04,0,0.04,28.593
2,October,+72.7,15:34,+39,07:53,89,09:07,22,15:40,+46,22:58,+29.1,16:31,+73.4,23:29,+71.2,14:37,+39,07:54,+73.6,12:17,0,00:00,29.38,23:48,29.23,16:33,10.5,17:05,207,0.04,0,0.04,19.003
3,October,+51.4,14:28,+47.5,23:59,82,16:27,56,06:59,+45.3,16:27,+33.8,06:59,+73.4,21:12,+71.1,11:38,+39.2,21:55,-999,00:00,0.04,16:30,29.5,23:59,29.35,05:18,9.6,00:25,287,0.2,0,0.2,28.236
4,October,+57.4,16:24,+47.3,00:05,88,23:59,47,16:30,+46.4,23:06,+37,16:30,+72.9,23:04,+71.1,10:25,+44.6,08:22,-999,00:00,0.67,18:43,29.59,23:34,29.5,07:19,7.6,14:18,271,0.2,0,0.2,8.234
5,October,+57.6,13:33,+46.4,07:58,92,09:33,38,15:58,+46,09:57,+30.7,15:58,+73.6,22:22,+71.2,13:04,+44.6,10:28,-999,00:00,0,00:00,29.62,12:34,29.53,23:59,8.7,12:29,283,0.04,0,0.04,6.796
6,October,+70.9,17:10,+47.1,07:43,83,08:02,22,17:56,+42.6,08:02,+28.2,19:22,+73,21:58,+71.4,15:09,+46.4,10:46,+72.1,17:02,0,00:00,29.53,00:04,29.26,20:18,13.2,14:37,342,0,1,0.04,31.03
7,October,+77.9,16:41,+49.5,23:59,52,23:59,15,17:56,+36.3,09:13,+23.9,18:22,+72.5,02:16,+70,19:13,+49.5,23:59,+74.5,16:41,0,00:00,29.38,23:59,29.26,06:19,11.9,11:56,307,0,2,0.04,31.738
8,October,+81.1,17:14,+40.1,07:57,87,08:47,14,17:22,+43.9,09:09,+24.8,18:14,+73.2,22:21,+70.7,18:34,+40.1,07:57,+76.6,17:14,0,00:00,29.44,12:19,29.35,21:04,8.3,14:21,256,0,3,0.04,12.616
9,October,+84.4,16:51,+42.3,08:07,89,09:11,13,16:58,+48.7,09:25,+27,18:07,+73.9,16:12,+71.2,12:04,+42.3,08:07,+79.7,16:32,0,00:00,29.41,12:04,29.32,22:04,8.3,13:58,270,0,4,0.04,11.334
