This is the FreeWX-Wi raw almanac file of daily extremes.

This file used Midnight changeover times
Each entry details the extreme conditions for the 24 hours ENDING at the changeover time on the date shown for that entry.


DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN & vbCrLf
21,March,+64.4,16:43,+26.4,07:23,98,09:03,26,18:50,+37,09:03,+20.1,10:14,+74.8,18:34,+68.7,07:04,+26.4,07:23,-999,00:00,0,00:00,29.59,06:30,29.17,23:59,8.7,18:24,100,0,2,1.42,24.651
22,March,+58.8,03:08,+26.1,23:59,98,23:59,36,03:12,+37.6,09:06,+23,22:42,+72.7,00:14,+69.4,23:59,+24.8,14:43,-999,00:00,0,00:00,29.5,23:59,29.09,06:45,17,12:47,259,0,3,1.42,59.594
23,March,+55.8,15:59,+17.8,07:23,98,08:58,23,15:52,+31.1,08:58,+9.3,13:17,+73.9,17:04,+68.2,07:09,+17.6,07:45,-999,00:00,0,00:00,29.53,11:45,29.44,17:00,8.7,19:09,248,0,4,1.42,21.819
24,March,+54.1,16:56,+22.8,07:35,98,09:04,30,17:05,+34.5,09:04,+16,20:24,+72.7,17:19,+68.5,07:23,+22.8,07:35,-999,00:00,0,00:00,29.59,23:59,29.47,05:30,9.6,18:05,265,0,5,1.42,21.328
25,March,+57.7,16:26,+21.4,05:44,98,09:02,25,18:36,+36.3,09:08,+18.9,13:19,+71.1,14:58,+68.5,06:57,+21.2,06:37,-999,00:00,0,00:00,29.59,02:00,29.26,20:30,13.6,17:56,224,0,6,1.42,52.786
26,March,+71.8,16:09,+51.4,23:59,46,21:51,23,18:39,+35.4,21:42,+22.1,02:06,+75.9,18:18,+69.3,06:32,+44.6,03:32,+72.9,16:09,0,00:00,29.41,12:14,29.29,01:15,14.5,00:33,253,0,7,1.42,71.36
27,March,+66.6,15:51,+44.4,05:49,98,23:06,43,00:01,+60.6,17:27,+29.7,00:31,+73.6,00:07,+69.4,09:46,+44.4,05:49,-999,00:00,1.26,17:11,29.38,00:30,29.03,23:59,8.7,16:03,216,1.1,0,1.1,4.561
28,March,+61.9,03:44,+32.4,23:37,98,10:52,47,17:25,+55.9,04:40,+26.2,23:13,+71.6,00:52,+69.6,12:12,+26.6,12:06,-999,00:00,0.28,03:57,29.56,23:59,28.97,03:45,12.3,03:48,282,0.39,0,0.39,35.319
29,March,+53.6,15:43,+28.6,07:28,77,00:01,26,18:24,+27.1,00:01,+13.5,11:28,+73.8,16:57,+68.5,08:18,+23,08:25,-999,00:00,0,00:00,29.68,12:00,29.56,23:59,11,10:15,76,0,1,0.39,39.279
30,March,+55.6,16:32,+38.7,07:08,98,08:24,33,02:53,+45.7,18:11,+14.9,01:19,+72.1,21:29,+69.1,09:50,+33.8,06:34,-999,00:00,0,00:00,29.59,12:30,29.5,22:45,8.1,13:50,72,0.04,0,0.04,15.523
31,March,+61.9,12:33,+47.8,04:22,91,16:37,52,12:37,+56.3,16:25,+35.4,00:56,+72,23:10,+69.4,07:30,+42.8,05:13,-999,00:00,0,23:59,29.53,00:45,29.2,23:59,8.1,14:36,222,0,1,0.04,21.32
